	SLA0109	SLA0110	SLA0210	SLA0514	SLA1213	SLA1812	SLA2014	SLA2311	SLA2411	SLA2710	SLA3014	SLA3311	SLA3315	SLA615	SLA715
ENSG00000000003	5	14	4	5	8	9	0	9	4	2	0	3	0	0	0
ENSG00000000005	2	2	0	1	0	0	0	0	0	0	0	0	0	0	2
ENSG00000000419	674	670	1454	1199	693	1024	539	923	454	486	114	1070	600	150	164
ENSG00000000457	443	518	322	373	427	398	143	379	300	225	64	407	279	162	166
ENSG00000000460	174	151	112	157	183	200	96	105	97	101	38	236	127	93	100
ENSG00000000938	3558	4152	5331	4043	4359	5565	2794	4216	3219	1587	1450	4350	3007	1603	2715
ENSG00000000971	143	117	568	291	315	70	63	108	54	41	44	195	126	93	71
ENSG00000001036	302	283	280	311	261	300	81	188	221	105	57	206	156	61	74
ENSG00000001084	417	546	715	572	564	437	266	398	302	225	96	599	479	155	132
ENSG00000001167	936	961	978	961	1019	1041	536	652	726	450	144	894	700	292	358
ENSG00000001460	66	103	100	70	82	78	24	92	56	46	6	74	48	18	28
ENSG00000001461	931	1223	849	675	1109	1104	366	645	707	574	101	1067	842	497	471
ENSG00000001497	692	940	1323	994	1030	1036	608	1109	686	608	171	1219	523	282	370
ENSG00000001561	520	388	701	478	355	361	132	246	184	154	78	457	394	120	74
ENSG00000001617	3	1	1	19	2	0	4	4	0	0	0	0	0	0	0
ENSG00000001626	0	1	0	12	2	2	2	1	0	6	0	2	0	6	0
ENSG00000001629	1194	1488	1645	1636	1245	1475	675	1103	971	773	247	1413	1240	641	509
ENSG00000001630	26	11	17	15	30	15	24	18	5	19	0	14	3	0	5
ENSG00000001631	384	308	363	348	325	362	147	206	232	163	46	302	226	70	72
ENSG00000002016	498	495	570	343	658	530	215	373	396	296	92	562	383	284	275
ENSG00000002079	2	7	11	10	4	1	1	4	0	3	1	9	2	0	4
ENSG00000002330	21	41	37	15	44	48	18	29	29	20	8	43	28	8	14
ENSG00000002549	498	605	684	1194	658	1061	333	544	467	318	78	1083	562	204	202
ENSG00000002586	1493	2169	3300	2532	2719	2388	919	1600	1760	1757	386	2276	1131	717	868
ENSG00000002587	42	58	37	75	64	45	34	112	21	16	30	34	52	44	26
ENSG00000002726	10	2	6	8	0	0	0	0	0	2	0	0	0	2	0
ENSG00000002745	54	94	22	15	59	24	15	14	16	24	29	20	30	19	23
ENSG00000002746	0	3	2	22	6	0	0	14	0	9	0	6	4	0	0
ENSG00000002822	90	54	89	79	128	111	71	55	73	58	29	119	73	40	88
ENSG00000002834	2465	4030	3862	2885	3422	3580	1136	2201	2570	1616	589	3404	2262	846	1299
ENSG00000002919	442	526	585	370	434	456	219	415	356	222	91	524	325	184	194
ENSG00000002933	291	372	495	42	4	50	4	194	56	58	0	221	72	6	8
ENSG00000003056	1482	1768	1742	1726	1508	1819	760	1259	1079	693	237	1260	1057	438	486
ENSG00000003096	19	9	28	27	9	6	6	4	5	0	2	4	6	0	2
ENSG00000003137	0	2	0	8	0	0	2	8	0	0	0	0	0	0	0
ENSG00000003147	39	45	70	86	48	73	13	45	40	31	2	51	25	22	15
ENSG00000003249	30	48	20	32	28	17	35	43	22	12	6	16	16	11	36
ENSG00000003393	664	731	1145	853	990	700	310	569	699	460	166	792	681	311	336
ENSG00000003400	1196	1160	980	752	1141	1187	425	718	772	585	176	970	924	550	503
ENSG00000003402	7357	9862	11880	11605	10795	10499	3681	6738	7498	4588	1680	10751	6460	3102	3311
ENSG00000003436	41	161	66	309	47	57	85	139	64	88	44	38	156	40	102
ENSG00000003509	401	447	593	543	416	485	219	505	343	261	86	488	297	147	123
ENSG00000003756	2635	3025	3823	3269	3092	3474	1986	2784	2329	1738	530	3301	2307	1244	1242
ENSG00000003987	211	302	250	271	268	230	59	128	165	77	29	272	174	73	68
ENSG00000003989	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004059	462	746	810	561	686	637	253	418	421	281	88	599	258	70	158
ENSG00000004139	263	371	383	210	362	265	148	250	196	188	75	371	283	138	127
ENSG00000004142	275	369	425	336	364	401	149	281	244	255	60	406	192	88	127
ENSG00000004399	1235	1647	2971	2352	2732	2820	1011	2115	1680	1016	614	2495	1206	372	1147
ENSG00000004455	932	1613	1487	1391	1312	1520	528	1008	956	618	201	1278	917	452	483
ENSG00000004468	623	635	509	482	427	546	197	462	326	340	39	622	468	102	109
ENSG00000004478	291	433	357	259	407	361	141	241	250	196	79	373	196	136	141
ENSG00000004487	851	1112	1359	1045	1064	1112	481	808	640	584	174	1094	783	384	419
ENSG00000004534	2869	3612	4494	3556	3529	4960	1974	2736	3880	2387	843	4234	2559	1394	1439
ENSG00000004660	137	86	130	115	94	118	99	96	117	63	32	96	105	34	57
ENSG00000004700	717	626	624	435	539	531	172	363	382	272	103	479	417	217	166
ENSG00000004766	834	862	834	975	813	822	324	574	516	363	153	741	758	344	314
ENSG00000004776	0	0	0	4	0	0	0	0	2	0	0	4	0	0	0
ENSG00000004777	123	88	148	39	207	152	97	149	71	70	18	163	123	32	108
ENSG00000004779	144	173	162	125	117	134	44	123	73	46	2	126	59	28	22
ENSG00000004799	1073	196	960	3072	299	979	63	391	272	159	305	1418	353	99	405
ENSG00000004809	32	28	58	19	38	58	10	0	23	9	0	28	2	4	21
ENSG00000004838	22	25	17	19	23	21	10	14	18	20	4	18	12	19	11
ENSG00000004846	1	1	0	22	1	0	2	0	0	4	2	2	0	0	0
ENSG00000004848	0	0	0	12	2	0	4	0	0	1	0	2	0	0	0
ENSG00000004864	328	289	320	433	293	358	129	252	194	140	54	286	184	163	153
ENSG00000004866	90	153	171	295	159	103	63	133	71	89	47	126	125	67	67
ENSG00000004897	1558	1477	1795	2286	1422	1401	628	1135	948	661	262	1418	1161	524	477
ENSG00000004939	42	18	149	14	30	48	293	68	12	22	47	8	13	0	0
ENSG00000004948	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0
ENSG00000004961	98	185	124	117	121	155	41	72	57	44	12	100	101	26	34
ENSG00000004975	222	202	246	159	329	243	151	205	104	136	44	255	243	93	136
ENSG00000005001	0	3	13	10	6	0	5	0	1	0	0	5	4	4	2
ENSG00000005007	1010	967	1237	757	1300	1265	978	1107	728	746	322	1186	940	371	895
ENSG00000005020	1391	2179	1676	2774	1373	1809	685	1256	1130	696	423	1242	1043	415	604
ENSG00000005022	740	996	1160	1090	542	851	272	482	446	268	72	758	496	188	203
ENSG00000005059	856	920	1091	848	983	888	380	653	505	354	102	970	644	253	306
ENSG00000005073	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2
ENSG00000005075	134	127	184	85	180	132	70	135	100	82	39	103	168	24	84
ENSG00000005100	296	377	349	281	342	321	105	199	287	161	65	336	205	147	136
ENSG00000005102	22	30	22	36	33	48	7	12	9	28	0	52	22	16	12
ENSG00000005108	5	17	22	22	8	8	0	8	10	19	0	11	6	4	2
ENSG00000005156	985	1021	1335	986	1189	1256	612	1003	827	686	155	1223	747	387	438
ENSG00000005175	846	1190	923	1073	825	878	382	621	717	403	176	926	556	297	286
ENSG00000005187	50	233	226	164	147	129	131	104	90	85	27	165	50	99	26
ENSG00000005189	27	24	32	18	16	17	5	4	10	6	4	18	16	6	6
ENSG00000005194	193	194	250	171	216	272	94	173	109	90	25	231	137	66	66
ENSG00000005206	234	294	355	168	416	413	398	302	244	228	110	413	279	106	306
ENSG00000005238	429	575	431	503	517	639	500	546	333	126	127	375	408	80	254
ENSG00000005243	8	10	23	15	13	4	5	11	6	7	4	10	11	13	4
ENSG00000005249	487	3083	1043	5324	1015	975	1427	1278	1396	1344	723	461	3128	406	1310
ENSG00000005302	1516	2334	2461	2248	2086	2695	1342	1787	1671	1224	304	2287	1594	669	727
ENSG00000005339	5542	7785	9886	7138	8826	9011	4403	6252	5385	4638	1839	9007	4899	2138	3385
ENSG00000005379	738	776	1264	589	1202	1229	438	893	759	763	366	1268	681	522	384
ENSG00000005381	29	65	171	60	82	173	41	49	37	4	24	47	23	4	24
ENSG00000005421	0	3	2	7	4	2	0	4	2	5	2	2	0	0	0
ENSG00000005436	327	472	513	416	429	409	206	282	195	173	59	492	296	113	141
ENSG00000005448	85	51	109	76	53	72	33	35	43	65	6	83	46	23	42
ENSG00000005469	273	224	197	184	219	204	64	167	100	121	37	242	226	105	34
ENSG00000005471	53	216	76	62	77	96	115	61	43	48	36	81	58	48	68
ENSG00000005483	7124	10505	12863	13761	10124	9594	6034	7697	5777	4429	1816	10665	5561	2918	2605
ENSG00000005486	135	293	400	221	243	269	171	284	127	112	44	306	183	66	132
ENSG00000005513	5	50	6	27	18	14	18	4	12	8	4	6	4	0	22
ENSG00000005700	1436	1348	1760	1898	1211	1434	513	963	925	737	182	1321	1066	442	370
ENSG00000005801	852	837	1044	1009	891	962	434	764	566	449	104	1011	712	232	219
ENSG00000005810	8528	9543	9987	10047	8970	10428	4837	7464	6691	5197	1679	9538	6746	4312	4025
ENSG00000005812	1364	1567	1953	1936	1255	1401	713	1067	925	638	141	1370	751	227	222
ENSG00000005844	8359	8045	11575	7341	10153	9611	4074	6962	5708	4915	2181	11124	7317	3784	3604
ENSG00000005882	130	223	186	177	210	177	70	162	110	124	23	200	140	50	74
ENSG00000005884	80	48	65	69	108	72	47	65	61	59	12	58	77	49	48
ENSG00000005889	2276	1462	1651	2695	1416	1584	1071	1774	1073	1316	179	1643	1636	455	454
